page,text,x0,top,x1,bottom
0,SUN,19.8422,85.54122676813779,38.835645484384116,94.54653859752136
0,23,41.335014218518666,85.54122676813779,51.341274259967236,94.54653859752136
0,NOV,53.84064299410179,85.54122676813779,73.33484071781191,94.54653859752136
0,2025,75.83420945194646,85.54122676813779,95.8467295348436,94.54653859752136
0,CYCLO-CROSS,508.88095861555854,85.54122676813779,575.3536251235083,94.54653859752136
0,Start,19.8422,96.0474239024187,38.8400379468796,105.05273573180227
0,time:,41.33940668101414,96.0474239024187,60.83360431476457,105.05273573180227
0,14:30,63.33297304889912,96.0474239024187,85.84486186593081,105.05273573180227
0,Men,537.8484557784012,96.0474239024187,555.3484294697982,105.05273573180227
0,Elite,557.8477982039328,96.0474239024187,575.3477719852896,105.05273573180227
0,Entries,274.7163198852297,119.51487957154313,320.46267442226304,133.0228473156186
0,NrName,34.058558067213184,143.8608512933289,64.09354688327734,151.06584966176138
0,/,66.09580126541853,143.8608512933289,68.09805564755972,151.06584966176138
0,Team,70.10031002970092,143.8608512933289,88.39155490746377,151.06584966176138
0,NAT,205.48062652997558,143.8608512933289,219.75680590889024,151.06584966176138
0,YOB,229.73757772107228,143.8608512933289,245.35445820995346,151.06584966176138
0,WCS,251.35770246487374,143.8608512933289,268.1710091637618,151.06584966176138
0,UCI,275.7835668861216,143.8608512933289,288.19472899984805,151.06584966176138
0,NrName,316.32130078074925,143.8608512933289,346.35628659401834,151.06584966176138
0,/,348.35854097615953,143.8608512933289,350.3607953583007,151.06584966176138
0,Team,352.36304974044197,143.8608512933289,370.6542946182048,151.06584966176138
0,NAT,487.74336624071657,143.8608512933289,502.0195456196313,151.06584966176138
0,YOB,512.0003174318133,143.8608512933289,527.6171979206945,151.06584966176138
0,WCS,533.6204421756148,143.8608512933289,550.433748874503,151.06584966176138
0,UCI,558.0463065968627,143.8608512933289,570.4574687105892,151.06584966176138
0,VAN,44.46511984710719,154.66834884597768,59.145972829907706,161.87334721441016
0,DER,61.14822721204891,154.66834884597768,76.36395306061458,161.87334721441016
0,HAAR,78.36620744275578,154.66834884597768,99.18402290592624,161.87334721441016
0,Lars,101.18041236079463,154.66834884597768,116.40317592029983,161.87334721441016
0,29KUHN,316.31191404325637,154.66834884597768,347.54567502101867,161.87334721441016
0,Kevin,349.54792940315986,154.66834884597768,369.17283747575965,161.87334721441016
0,2,38.056029048488966,157.6704314994912,42.064056704274655,164.87542986792369
0,NED,205.01143979508407,157.6704314994912,220.22716564364976,164.87542986792369
0,1991,229.53113555772003,157.6704314994912,245.5632461808628,164.87542986792369
0,9,279.97809329325673,157.6704314994912,283.9861209490424,164.87542986792369
0,SUI,488.878795136359,157.6704314994912,500.8923215012732,164.87542986792369
0,1998,511.793875268461,157.6704314994912,527.8259858916038,164.87542986792369
0,15,560.242100516155,157.6704314994912,568.2581558277263,164.87542986792369
0,BALOISE,44.46511984710719,162.69247016167856,67.59749210607474,168.09621893800295
0,GLOWI,69.09918289268063,162.69247016167856,87.11683321737421,168.09621893800295
0,LIONS,88.61852400398013,162.69247016167856,104.83889589908617,168.09621893800295
0,NChHEIZOMAT,313.51556110330284,162.69247016167856,354.2518197274675,168.09621893800295
0,-,355.75351051407335,162.69247016167856,357.5534281122884,168.09621893800295
0,CUBE,359.05511889889425,162.69247016167856,374.07202687305386,168.09621893800295
0,RONHAAR,44.46511984710719,171.4800117056535,81.297451547971,178.685010074086
0,Pim,83.2997059301122,171.4800117056535,96.51669628803997,178.685010074086
0,3,38.056029048488966,174.48209435916704,42.064056704274655,181.68709272759952
0,NED,205.01143979508407,174.48209435916704,220.22716564364976,181.68709272759952
0,2001,229.53113555772003,174.48209435916704,245.5632461808628,181.68709272759952
0,12,277.97936080541393,174.48209435916704,285.99541611698527,181.68709272759952
0,30SOMMER,316.31191404325637,174.48209435916704,359.15804667355036,181.68709272759952
0,Lars,361.16030105569155,174.48209435916704,376.38306461519676,181.68709272759952
0,SUI,488.878795136359,174.48209435916704,500.8923215012732,181.68709272759952
0,2002,511.793875268461,174.48209435916704,527.8259858916038,181.68709272759952
0,48,560.242100516155,174.48209435916704,568.2581558277263,181.68709272759952
0,BALOISE,44.46511984710719,179.5041330213544,67.59749210607474,184.90788179767878
0,GLOWI,69.09918289268063,179.5041330213544,87.11683321737421,184.90788179767878
0,LIONS,88.61852400398013,179.5041330213544,104.83889589908617,184.90788179767878
0,NIEUWENHUIS,44.46511984710719,188.29167456532934,95.71438700740902,195.49667293376183
0,Joris,97.7166413895502,188.29167456532934,114.9416593311966,195.49667293376183
0,ROUILLER,326.7278595578482,188.29167456532934,363.56019118664494,195.49667293376183
0,Loris,365.56244556878613,188.29167456532934,383.1815803677414,195.49667293376183
0,4,38.056029048488966,191.29375721884298,42.064056704274655,198.49875558727547
0,NED,205.01143979508407,191.29375721884298,220.22716564364976,198.49875558727547
0,1996,229.53113555772003,191.29375721884298,245.5632461808628,198.49875558727547
0,13,277.97936080541393,191.29375721884298,285.99541611698527,198.49875558727547
0,31,316.31191404325637,191.29375721884298,324.3279693548277,198.49875558727547
0,SUI,488.878795136359,191.29375721884298,500.8923215012732,198.49875558727547
0,2000,511.793875268461,191.29375721884298,527.8259858916038,198.49875558727547
0,50,560.242100516155,191.29375721884298,568.2581558277263,198.49875558727547
0,RIDLEY,44.46511984710719,196.31579588103023,63.98973934971194,201.71954465735462
0,RACING,65.49143013631783,196.31579588103023,86.51246208827354,201.71954465735462
0,TEAM,88.01415287487943,196.31579588103023,103.02842162636122,201.71954465735462
