Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Junior,19,238296,Noé,Raekelboom,,0:42:15,,334.72676340081,315.75625640906,
Men Junior,20,227556,Luca,Renders,,0:42:22,,341.60316890545,320.27656837497,
Men Junior,21,231700,Mathis,Richez,,0:42:26,,391.62861883664,324.79688034088,
Men Junior,22,240137,Joren,Celen,,0:42:36,,328.70239999528,329.31719230679,
Men Junior,23,240138,Ferre,Belmans,,0:42:49,,353.485069026,333.8375042727,
Men Junior,24,237552,Jules,Van oirbeek,,0:42:55,,363.36024111956,338.35781623862,
Men Junior,25,232795,Danté,Flamez,,0:43:11,,399.50007125722,342.87812820453,
Men Junior,26,237548,Maxime,Smits,,0:43:12,,337.32626546108,347.39844017044,
Men Junior,27,230096,Louis,Regost,,0:43:12,,379.82440399372,351.91875213635,
Men Junior,28,238917,Lowie,Geens,,0:43:16,,425.23168085959,356.43906410226,
Men Junior,29,227558,Jonas,Vermiert,,0:43:28,,371.09646179789,360.95937606818,
Men Junior,30,230091,Roan,Dresselaers,,0:43:28,,377.4574041322,365.47968803409,
Men Junior,31,237562,Kobe,Vervaet,,0:43:30,,354.40896738315,370,
Men Junior,32,240844,Flynn,Delanghe,,0:43:37,,370,374.52031196591,
Men Junior,33,227544,Maike,Tazelaar,,0:43:56,,345.60420679596,379.04062393182,
Men Junior,34,227541,Gijs,Winters,,0:44:09,,325.65160305285,383.56093589774,
Men Junior,35,228388,Julian,Kadrispahic,,0:44:25,,382.61551988156,388.08124786365,
Men Junior,36,235554,Ielan,Meert,,0:44:26,,420.9270561895,392.60155982956,
Men Junior,37,238299,Jonas,Pauwels,,0:44:35,,379.14433166471,397.12187179547,
Men Junior,38,238921,Matteo,Coualan,,0:44:44,,444.14995097418,401.64218376138,
Men Junior,39,237553,Sven,Dijkman,,0:44:44,,323.14845437673,406.1624957273,
Men Junior,40,231691,Joppe,Goovaerts,,0:44:59,,421.33594418181,410.68280769321,
Men Junior,41,227381,Theo,Sandell,,0:45:03,,412.98125410953,415.20311965912,
Men Junior,42,240849,Louca,Vanlommel,,0:45:08,,370,419.72343162503,
